Feature,Importance
thal_3.0,0.0954137800152864
thalach,0.08478319969171866
ca_0.0,0.08408706672691255
oldpeak,0.07634053834300764
thal_7.0,0.07592143318981993
cp_4,0.07468009757380306
age,0.06753780842593332
chol,0.06576205290205044
trestbps,0.06356373648190047
exang_1,0.03841325437430466
exang_0,0.03517814033294979
slope_2,0.029431804441510417
sex_1,0.028003982603124956
slope_1,0.027465089019639885
sex_0,0.020656646621899637
ca_1.0,0.01984816901520137
cp_3,0.01864168503093097
restecg_2,0.014587690076239295
restecg_0,0.013306752596216805
cp_1,0.012619059812739046
cp_2,0.010544672298555536
ca_2.0,0.009251016265706426
ca_3.0,0.009150570846644552
fbs_0,0.008320392135061243
fbs_1,0.00808240439632096
thal_6.0,0.004699319707286743
slope_3,0.0036200924752810004
restecg_1,8.954459995422588e-05
